Amazon Braket	https://console.aws.amazon.com/braket/home?region=$REGION
AWS Organizations	https://console.aws.amazon.com/organizations/v2/home?region=$REGION
CloudWatch	https://$REGION.console.aws.amazon.com/cloudwatch/home?region=$REGION
AWS Auto Scaling	https://$REGION.console.aws.amazon.com/awsautoscaling/home?region=$REGION
CloudFormation	https://$REGION.console.aws.amazon.com/cloudformation/home?region=$REGION
Config	https://$REGION.console.aws.amazon.com/config/home?region=$REGION
OpsWorks	https://console.aws.amazon.com/opsworks/landing/home?region=$REGION
Service Catalog	https://$REGION.console.aws.amazon.com/servicecatalog/home?region=$REGION
Systems Manager	https://$REGION.console.aws.amazon.com/systems-manager/home?region=$REGION
Trusted Advisor	https://console.aws.amazon.com/trustedadvisor/home?region=$REGION
Control Tower	https://$REGION.console.aws.amazon.com/controltower/home?region=$REGION
AWS Well-Architected Tool	https://$REGION.console.aws.amazon.com/wellarchitected/home?region=$REGION
AWS Health Dashboard	https://health.aws.amazon.com/health/home
AWS Chatbot	https://console.aws.amazon.com/chatbot/home?region=$REGION
Launch Wizard	https://$REGION.console.aws.amazon.com/launchwizard/home?region=$REGION
AWS Compute Optimizer	https://console.aws.amazon.com/compute-optimizer/home?region=$REGION
Resource Groups & Tag Editor	https://$REGION.console.aws.amazon.com/resource-groups/home?region=$REGION
Amazon Grafana	https://$REGION.console.aws.amazon.com/grafana/home?region=$REGION
Amazon Prometheus	https://$REGION.console.aws.amazon.com/prometheus/home?region=$REGION
AWS Resilience Hub	https://$REGION.console.aws.amazon.com/resiliencehub/home?region=$REGION
Incident Manager	https://$REGION.console.aws.amazon.com/systems-manager/incidents/home?region=$REGION
AWS License Manager	https://$REGION.console.aws.amazon.com/license-manager/home?region=$REGION
Service Quotas	https://$REGION.console.aws.amazon.com/servicequotas/home?region=$REGION
AWS Proton	https://$REGION.console.aws.amazon.com/proton/home?region=$REGION
CloudTrail	https://$REGION.console.aws.amazon.com/cloudtrail/home?region=$REGION
AWS Resource Explorer	https://resource-explorer.console.aws.amazon.com/resource-explorer/home?region=$REGION
AWS User Notifications	https://console.aws.amazon.com/notifications/home?region=$REGION
AWS Telco Network Builder	https://console.aws.amazon.com/tnb/home?region=$REGION
Kinesis Video Streams	https://$REGION.console.aws.amazon.com/kinesisvideo/home?region=$REGION
MediaConvert	https://$REGION.console.aws.amazon.com/mediaconvert/home?region=$REGION
MediaLive	https://$REGION.console.aws.amazon.com/medialive/home?region=$REGION
MediaPackage	https://$REGION.console.aws.amazon.com/mediapackage/home?region=$REGION
MediaStore	https://$REGION.console.aws.amazon.com/mediastore/home?region=$REGION
MediaTailor	https://$REGION.console.aws.amazon.com/mediatailor/home?region=$REGION
Elemental Appliances & Software	https://console.aws.amazon.com/elemental-appliances-software/home?region=$REGION
Elastic Transcoder	https://$REGION.console.aws.amazon.com/elastictranscoder/home?region=$REGION
Nimble Studio	https://$REGION.console.aws.amazon.com/nimblestudio/home?region=$REGION
MediaConnect	https://$REGION.console.aws.amazon.com/mediaconnect/home?region=$REGION
Amazon Interactive Video Service	https://$REGION.console.aws.amazon.com/ivs/home?region=$REGION
Amazon SageMaker	https://$REGION.console.aws.amazon.com/sagemaker/home?region=$REGION
Amazon Augmented AI	https://$REGION.console.aws.amazon.com/a2i/home?region=$REGION
Amazon CodeGuru	https://$REGION.console.aws.amazon.com/codeguru/home?region=$REGION
Amazon DevOps Guru	https://$REGION.console.aws.amazon.com/devops-guru/home?region=$REGION
Amazon Comprehend	https://$REGION.console.aws.amazon.com/comprehend/home?region=$REGION
Amazon Forecast	https://$REGION.console.aws.amazon.com/forecast/home?region=$REGION
Amazon Fraud Detector	https://$REGION.console.aws.amazon.com/frauddetector/home?region=$REGION
Amazon Kendra	https://$REGION.console.aws.amazon.com/kendra/home?region=$REGION
Amazon Personalize	https://$REGION.console.aws.amazon.com/personalize/home?region=$REGION
Amazon Polly	https://$REGION.console.aws.amazon.com/polly/home?region=$REGION
Amazon Rekognition	https://$REGION.console.aws.amazon.com/rekognition/home?region=$REGION
Amazon Textract	https://$REGION.console.aws.amazon.com/textract/home?region=$REGION
Amazon Transcribe	https://$REGION.console.aws.amazon.com/transcribe/home?region=$REGION
Amazon Translate	https://$REGION.console.aws.amazon.com/translate/home?region=$REGION
AWS DeepComposer	https://console.aws.amazon.com/deepcomposer/home?region=$REGION
AWS DeepLens	https://console.aws.amazon.com/deeplens/home?region=$REGION
AWS DeepRacer	https://console.aws.amazon.com/deepracer/home?region=$REGION
AWS Panorama	https://$REGION.console.aws.amazon.com/panorama/home?region=$REGION
Amazon Monitron	https://$REGION.console.aws.amazon.com/monitron/home?region=$REGION
AWS HealthLake	https://console.aws.amazon.com/healthlake/home?region=$REGION
Amazon Lookout for Vision	https://$REGION.console.aws.amazon.com/lookoutvision/home?region=$REGION
Amazon Lookout for Equipment	https://$REGION.console.aws.amazon.com/lookoutequipment/home?region=$REGION
Amazon Lookout for Metrics	https://$REGION.console.aws.amazon.com/lookoutmetrics/home?region=$REGION
Amazon Lex	https://$REGION.console.aws.amazon.com/lexv2/home?region=$REGION
Amazon Comprehend Medical	https://$REGION.console.aws.amazon.com/comprehendmedical/home?region=$REGION
AWS HealthOmics	https://$REGION.console.aws.amazon.com/omics/home?region=$REGION
Amazon Bedrock	https://console.aws.amazon.com/bedrock/home?region=$REGION
AWS HealthImaging	https://$REGION.console.aws.amazon.com/medical-imaging/home?region=$REGION
Amazon Q	https://console.aws.amazon.com/amazonq/home?region=$REGION
Athena	https://$REGION.console.aws.amazon.com/athena/home?region=$REGION
Amazon Redshift	https://$REGION.console.aws.amazon.com/redshiftv2/home?region=$REGION
CloudSearch	https://$REGION.console.aws.amazon.com/cloudsearch/home?region=$REGION
Amazon OpenSearch Service	https://$REGION.console.aws.amazon.com/aos/home?region=$REGION
Kinesis	https://$REGION.console.aws.amazon.com/kinesis/home?region=$REGION
QuickSight	https://quicksight.aws.amazon.com/
Data Pipeline	https://$REGION.console.aws.amazon.com/datapipeline/home?region=$REGION
AWS Data Exchange	https://$REGION.console.aws.amazon.com/dataexchange/home?region=$REGION
AWS Lake Formation	https://$REGION.console.aws.amazon.com/lakeformation/home?region=$REGION
MSK	https://$REGION.console.aws.amazon.com/msk/home?region=$REGION
AWS Glue DataBrew	https://$REGION.console.aws.amazon.com/databrew/home?region=$REGION
Amazon FinSpace	https://$REGION.console.aws.amazon.com/finspace/home?region=$REGION
AWS Glue	https://$REGION.console.aws.amazon.com/glue/home?region=$REGION
Kinesis Data Firehose	https://$REGION.console.aws.amazon.com/firehose/home?region=$REGION
EMR	https://$REGION.console.aws.amazon.com/emr/home?region=$REGION
AWS Clean Rooms	https://$REGION.console.aws.amazon.com/cleanrooms/home?region=$REGION
Amazon DataZone	https://$REGION.console.aws.amazon.com/datazone/home?region=$REGION
AWS Entity Resolution	https://$REGION.console.aws.amazon.com/entityresolution/home?region=$REGION
Managed Apache Flink	https://$REGION.console.aws.amazon.com/flink/home?region=$REGION
Resource Access Manager	https://$REGION.console.aws.amazon.com/ram/home?region=$REGION
Cognito	https://$REGION.console.aws.amazon.com/cognito/v2/home?region=$REGION
Secrets Manager	https://$REGION.console.aws.amazon.com/secretsmanager/home?region=$REGION
GuardDuty	https://$REGION.console.aws.amazon.com/guardduty/home?region=$REGION
Amazon Inspector	https://$REGION.console.aws.amazon.com/inspector/v2/home?region=$REGION
Amazon Macie	https://$REGION.console.aws.amazon.com/macie/home?region=$REGION
IAM Identity Center	https://$REGION.console.aws.amazon.com/singlesignon/home?region=$REGION
Certificate Manager	https://$REGION.console.aws.amazon.com/acm/home?region=$REGION
Key Management Service	https://$REGION.console.aws.amazon.com/kms/home?region=$REGION
CloudHSM	https://$REGION.console.aws.amazon.com/cloudhsm/home?region=$REGION
Directory Service	https://$REGION.console.aws.amazon.com/directoryservicev2/home?region=$REGION
WAF & Shield	https://console.aws.amazon.com/wafv2/home?region=$REGION
AWS Firewall Manager	https://console.aws.amazon.com/wafv2/fmsv2/home?region=$REGION
AWS Artifact	https://console.aws.amazon.com/artifact/home?region=$REGION
Detective	https://$REGION.console.aws.amazon.com/detective/home?region=$REGION
AWS Signer	https://$REGION.console.aws.amazon.com/signer/home?region=$REGION
AWS Private Certificate Authority	https://$REGION.console.aws.amazon.com/acm-pca/home?region=$REGION
Security Hub	https://$REGION.console.aws.amazon.com/securityhub/home?region=$REGION
AWS Audit Manager	https://$REGION.console.aws.amazon.com/auditmanager/home?region=$REGION
Security Lake	https://$REGION.console.aws.amazon.com/securitylake/home?region=$REGION
Amazon Verified Permissions	https://$REGION.console.aws.amazon.com/verifiedpermissions/home?region=$REGION
IAM	https://console.aws.amazon.com/iam/home?region=$REGION
AWS Payment Cryptography	https://console.aws.amazon.com/payment-cryptography/home?region=$REGION
AWS Marketplace Subscriptions	https://console.aws.amazon.com/marketplace/home?region=$REGION
AWS Application Cost Profiler	https://console.aws.amazon.com/application-cost-profiler/home?region=$REGION
AWS Billing Conductor	https://console.aws.amazon.com/billingconductor/home?region=$REGION
Billing and Cost Management	https://console.aws.amazon.com/costmanagement/home?region=$REGION
AWS Amplify	https://$REGION.console.aws.amazon.com/amplify/home?region=$REGION
AWS AppSync	https://$REGION.console.aws.amazon.com/appsync/home?region=$REGION
Device Farm	https://console.aws.amazon.com/devicefarm/home?region=$REGION
Amazon Location Service	https://$REGION.console.aws.amazon.com/location/home?region=$REGION
Step Functions	https://$REGION.console.aws.amazon.com/states/home?region=$REGION
Amazon AppFlow	https://$REGION.console.aws.amazon.com/appflow/home?region=$REGION
Amazon EventBridge	https://$REGION.console.aws.amazon.com/events/home?region=$REGION
Amazon MQ	https://$REGION.console.aws.amazon.com/amazon-mq/home?region=$REGION
Simple Notification Service	https://$REGION.console.aws.amazon.com/sns/home?region=$REGION
Simple Queue Service	https://$REGION.console.aws.amazon.com/sqs/v3/home?region=$REGION
SWF	https://$REGION.console.aws.amazon.com/swf/v2/home?region=$REGION
Managed Apache Airflow	https://$REGION.console.aws.amazon.com/mwaa/home?region=$REGION
AWS B2B Data Interchange	https://console.aws.amazon.com/b2bi/home?region=$REGION
Amazon Connect	https://console.aws.amazon.com/connect/v2/home?region=$REGION
Amazon Honeycode	https://console.aws.amazon.com/honeycode/home?region=$REGION
Amazon Chime	https://chime.aws.amazon.com/
Amazon Simple Email Service	https://$REGION.console.aws.amazon.com/ses/home?region=$REGION
Amazon WorkDocs	https://$REGION.console.aws.amazon.com/zocalo/home?region=$REGION
Amazon WorkMail	https://$REGION.console.aws.amazon.com/workmail/v2/home?region=$REGION
AWS Supply Chain	https://$REGION.console.aws.amazon.com/scn/home?region=$REGION
AWS AppFabric	https://$REGION.console.aws.amazon.com/appfabric/home?region=$REGION
AWS Wickr	https://console.aws.amazon.com/wickr/home?region=$REGION
Amazon Chime SDK	https://$REGION.console.aws.amazon.com/chime-sdk/home?region=$REGION
Amazon One Enterprise	https://console.aws.amazon.com/one-enterprise/home?region=$REGION
Amazon Pinpoint	https://$REGION.console.aws.amazon.com/pinpointv2/home?region=$REGION
WorkSpaces	https://$REGION.console.aws.amazon.com/workspaces/v2/home?region=$REGION
AppStream 2.0	https://$REGION.console.aws.amazon.com/appstream2/home?region=$REGION
WorkSpaces Web	https://$REGION.console.aws.amazon.com/workspaces-web/home?region=$REGION
WorkSpaces Thin Client	https://$REGION.console.aws.amazon.com/workspaces-thin-client/home?region=$REGION
IoT 1-Click	https://$REGION.console.aws.amazon.com/iot1click/home?region=$REGION
IoT Analytics	https://$REGION.console.aws.amazon.com/iotanalytics/home?region=$REGION
IoT Device Defender	https://$REGION.console.aws.amazon.com/devicedefender/home?region=$REGION
IoT Device Management	https://$REGION.console.aws.amazon.com/iotdm/home?region=$REGION
IoT Greengrass	https://$REGION.console.aws.amazon.com/greengrass/home?region=$REGION
IoT SiteWise	https://$REGION.console.aws.amazon.com/iotsitewise/home?region=$REGION
IoT Core	https://$REGION.console.aws.amazon.com/iot/home?region=$REGION
IoT Events	https://$REGION.console.aws.amazon.com/iotevents/home?region=$REGION
AWS IoT FleetWise	https://console.aws.amazon.com/iotfleetwise/home?region=$REGION
IoT RoboRunner	https://console.aws.amazon.com/iotroborunner/home?region=$REGION
IoT TwinMaker	https://$REGION.console.aws.amazon.com/iottwinmaker/home?region=$REGION
Amazon GameLift	https://$REGION.console.aws.amazon.com/gamelift/home?region=$REGION
